,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
260,Yerkoy,39.6381,34.4672,55.11,48,3,2.68,TR,clear sky,2022-04-22 23:11:39
261,Praia,14.9215,-23.5087,72.0,79,1,11.34,CV,clear sky,2022-04-22 23:11:40
262,Presidencia Roque Saenz Pena,-26.7852,-60.4388,69.44,92,67,7.43,AR,broken clouds,2022-04-22 23:11:40
263,Banja Koviljaca,44.5144,19.1583,52.12,88,100,4.5,BA,light rain,2022-04-22 23:11:41
264,Pimentel,-6.8367,-79.9342,66.49,82,40,19.57,PE,scattered clouds,2022-04-22 23:11:41
265,Tukrah,32.5341,20.5791,63.54,73,31,7.0,LY,scattered clouds,2022-04-22 23:11:41
266,Leczyca,52.0596,19.1997,41.14,87,8,6.76,PL,clear sky,2022-04-22 23:11:42
267,Manthani,18.65,79.6667,86.4,51,96,9.69,IN,overcast clouds,2022-04-22 23:11:42
268,Maunabo,18.0072,-65.8993,78.62,78,85,10.87,PR,overcast clouds,2022-04-22 23:11:43
269,Emet,39.343,29.2585,56.19,50,43,4.74,TR,scattered clouds,2022-04-22 23:11:43
270,Naples,40.8333,14.25,56.61,90,0,1.14,IT,clear sky,2022-04-22 23:11:43
271,Yantzaza,-3.8278,-78.7594,75.22,75,12,1.36,EC,few clouds,2022-04-22 23:11:44
272,Ordu,40.9086,37.6845,32.5,71,26,5.06,TR,scattered clouds,2022-04-22 23:11:44
273,Sayyan,15.1718,44.3244,60.15,31,87,1.92,YE,overcast clouds,2022-04-22 23:11:45
274,Touros,-5.1989,-35.4608,79.99,80,97,11.14,BR,very heavy rain,2022-04-22 23:11:45
275,Reo,12.3167,-2.4667,94.01,28,11,5.32,BF,few clouds,2022-04-22 23:11:45
276,Xai-Xai,-25.0519,33.6442,68.23,87,100,4.21,MZ,overcast clouds,2022-04-22 23:11:46
277,Pavullo Nel Frignano,44.3315,10.835,48.34,94,34,5.86,IT,scattered clouds,2022-04-22 23:11:46
278,Tabou,4.423,-7.3528,78.96,83,55,6.02,CI,broken clouds,2022-04-22 23:11:47
279,Wilmington Island,32.0036,-80.9737,73.49,60,0,8.05,US,clear sky,2022-04-22 23:11:47
280,George Town,5.4112,100.3354,82.33,89,40,0.0,MY,scattered clouds,2022-04-22 23:08:14
281,Neuquen,-38.9516,-68.0591,58.89,72,0,0.0,AR,clear sky,2022-04-22 23:11:48
282,Vila Franca Do Campo,37.7167,-25.4333,57.61,68,88,6.46,PT,overcast clouds,2022-04-22 23:08:48
283,Rawson,-43.3002,-65.1023,57.58,43,84,9.35,AR,broken clouds,2022-04-22 23:08:48
284,Kurtalan,37.9272,41.7028,58.71,47,3,2.26,TR,clear sky,2022-04-22 23:11:48
285,Verkhnyaya Inta,65.9811,60.3094,3.61,95,45,5.91,RU,scattered clouds,2022-04-22 23:11:49
286,Paamiut,61.994,-49.6678,31.82,90,95,1.61,GL,overcast clouds,2022-04-22 23:11:49
287,Boca Do Acre,-8.7522,-67.3978,75.79,93,100,0.89,BR,overcast clouds,2022-04-22 23:11:49
288,Los Llanos De Aridane,28.6585,-17.9182,60.55,83,75,4.0,ES,broken clouds,2022-04-22 23:11:17
289,Salisbury,51.0693,-1.7957,53.96,61,100,14.65,GB,overcast clouds,2022-04-22 23:07:21
290,Sukhobezvodnoye,57.0491,44.8891,35.44,80,13,4.41,RU,few clouds,2022-04-22 23:11:50
291,Gauribidanur,13.6111,77.5167,76.08,64,71,4.92,IN,broken clouds,2022-04-22 23:11:51
292,Wala,4.578,12.3154,70.56,97,63,0.38,CM,light rain,2022-04-22 23:11:51
293,Bermejo,-32.8833,-68.8,60.4,55,20,4.99,AR,few clouds,2022-04-22 23:11:51
294,Road Town,18.4167,-64.6167,78.89,69,40,8.05,VG,scattered clouds,2022-04-22 23:11:52
295,Boo,59.3333,18.2833,39.97,75,37,6.91,SE,scattered clouds,2022-04-22 23:11:52
296,Templin,53.1186,13.5022,41.09,84,1,6.49,DE,clear sky,2022-04-22 23:11:52
297,Avila,40.5833,-5.0,39.65,99,100,5.39,ES,overcast clouds,2022-04-22 23:11:53
298,Komsomolskiy,40.4272,71.7189,62.87,55,7,2.1,UZ,clear sky,2022-04-22 23:11:53
299,Camaqua,-30.8511,-51.8122,70.16,70,95,5.59,BR,overcast clouds,2022-04-22 23:11:54
300,Tiznit,29.5833,-9.5,55.65,73,56,8.84,MA,broken clouds,2022-04-22 23:10:19
301,Dera Bugti,29.0307,69.151,79.32,19,73,5.41,PK,broken clouds,2022-04-22 23:11:54
302,Nuuk,64.1835,-51.7216,34.41,93,75,6.91,GL,broken clouds,2022-04-22 23:11:55
303,Saint Anthony,45.0205,-93.218,51.85,91,100,23.02,US,mist,2022-04-22 23:11:55
304,Porangatu,-13.4408,-49.1486,76.71,70,100,1.01,BR,overcast clouds,2022-04-22 23:11:55
305,Durazno,-33.4131,-56.5006,50.92,95,100,8.61,UY,light rain,2022-04-22 23:11:56
306,Sisimiut,66.9395,-53.6735,26.4,89,100,6.38,GL,overcast clouds,2022-04-22 23:11:56
307,Usogorsk,63.4106,48.6872,34.88,94,100,4.41,RU,overcast clouds,2022-04-22 23:11:57
308,Ciudad Bolivar,8.1222,-63.5497,90.5,40,68,12.46,VE,broken clouds,2022-04-22 23:11:57
309,Pittsfield,42.4501,-73.2454,56.03,37,0,10.36,US,clear sky,2022-04-22 23:07:31
310,Kathmandu,27.7167,85.3167,61.02,77,20,2.3,NP,few clouds,2022-04-22 23:09:14
311,Udaipura,23.0833,78.5,87.69,24,88,5.32,IN,overcast clouds,2022-04-22 23:11:58
312,Kedougou,12.5579,-12.1743,91.78,12,100,0.51,SN,overcast clouds,2022-04-22 23:11:58
313,Gdansk,54.3521,18.6464,43.16,85,0,3.44,PL,clear sky,2022-04-22 23:11:59
314,Cockburn Town,21.4612,-71.1419,77.67,74,0,19.26,TC,clear sky,2022-04-22 23:11:59
315,Gazli,40.1333,63.45,70.66,38,17,2.08,UZ,few clouds,2022-04-22 23:11:59
316,Folldal,62.1325,9.9968,31.84,88,81,1.19,NO,broken clouds,2022-04-22 23:12:00
317,Takoradi,4.8845,-1.7554,80.76,86,22,10.11,GH,few clouds,2022-04-22 23:12:00
318,Khor,47.8861,134.9464,39.06,87,100,5.37,RU,overcast clouds,2022-04-22 23:12:00
319,Abu Dhabi,24.4667,54.3667,78.91,70,0,2.3,AE,clear sky,2022-04-22 23:12:01
320,Keetmanshoop,-26.5833,18.1333,69.8,35,78,2.62,NA,broken clouds,2022-04-22 23:12:01
321,Develi,38.3906,35.4922,43.95,50,0,2.04,TR,clear sky,2022-04-22 23:12:01
322,Manoel Urbano,-8.8389,-69.2597,76.03,86,60,2.82,BR,broken clouds,2022-04-22 23:12:02
323,Rabo De Peixe,37.8,-25.5833,56.71,54,75,6.91,PT,broken clouds,2022-04-22 23:12:03
324,Monte Alegre,-2.0078,-54.0692,74.03,95,83,2.37,BR,broken clouds,2022-04-22 23:12:03
325,Sunbury,-37.5833,144.7333,55.85,88,0,5.75,AU,clear sky,2022-04-22 23:12:03
326,Yalutorovsk,56.6536,66.3006,25.25,84,25,4.47,RU,scattered clouds,2022-04-22 23:12:04
327,Chingirlau,51.095,54.0814,46.42,91,98,12.3,KZ,overcast clouds,2022-04-22 23:12:04
328,Kasongo-Lunda,-6.4667,16.8167,69.8,99,100,0.85,CD,moderate rain,2022-04-22 23:12:04
329,Makat,47.6469,53.3463,55.94,71,18,4.97,KZ,few clouds,2022-04-22 23:12:05
330,Mapiripan,2.8892,-72.1256,74.5,89,100,3.89,CO,overcast clouds,2022-04-22 23:12:05
331,Kalmunai,7.4167,81.8167,77.83,86,82,6.15,LK,broken clouds,2022-04-22 23:12:06
332,Dalvik,65.9702,-18.5286,45.55,71,90,3.06,IS,overcast clouds,2022-04-22 23:12:06
333,Vestmannaeyjar,63.4427,-20.2734,46.35,85,69,13.91,IS,broken clouds,2022-04-22 23:12:07
334,Moba,33.2288,105.0179,50.2,76,0,1.97,CN,clear sky,2022-04-22 23:12:07
335,Algiers,36.7525,3.042,55.22,82,0,3.44,DZ,clear sky,2022-04-22 23:07:26
336,Keuruu,62.2667,24.7,41.18,90,38,7.9,FI,scattered clouds,2022-04-22 23:12:08
337,Douala,4.0483,9.7043,78.49,88,90,1.97,CM,light rain,2022-04-22 23:12:08
338,Harper,4.375,-7.7169,78.82,83,40,5.08,LR,scattered clouds,2022-04-22 23:12:09
339,Alta Floresta,-9.8756,-56.0861,72.66,95,78,2.91,BR,broken clouds,2022-04-22 23:12:09
340,Puri,19.8,85.85,81.03,90,4,18.97,IN,clear sky,2022-04-22 23:12:10
341,Sabaudia,41.3003,13.0282,54.91,97,79,3.74,IT,broken clouds,2022-04-22 23:12:10
342,Male,4.1748,73.5089,82.6,76,100,10.45,MV,overcast clouds,2022-04-22 23:12:10
343,Fontenay-Le-Comte,46.5833,-1.0,55.04,88,100,7.49,FR,overcast clouds,2022-04-22 23:12:11
344,Palatca,46.85,23.9833,52.59,91,100,3.44,RO,light rain,2022-04-22 23:12:11
345,Lerwick,60.1545,-1.1494,44.6,81,76,20.15,GB,broken clouds,2022-04-22 23:12:12
346,Tazmalt,36.3868,4.3989,60.42,41,7,8.79,DZ,clear sky,2022-04-22 23:12:12
347,Jaipur,26.9167,75.8167,85.32,25,5,3.44,IN,haze,2022-04-22 23:12:13
348,Garhi Khairo,28.0606,67.9803,82.8,13,6,4.54,PK,clear sky,2022-04-22 23:12:13
349,Butler,39.4501,-84.5666,76.21,43,0,8.05,US,clear sky,2022-04-22 23:12:13
350,Areka,7.0667,37.7,63.43,85,99,1.95,ET,overcast clouds,2022-04-22 23:12:14
351,Kamenka,51.3223,42.7678,43.14,94,85,7.2,RU,overcast clouds,2022-04-22 23:12:14
352,Taywarah,33.35,64.4167,48.11,36,82,0.78,AF,broken clouds,2022-04-22 23:12:15
353,Bol,13.4586,14.7147,83.79,41,12,10.2,TD,few clouds,2022-04-22 23:12:15
354,Henties Bay,-22.116,14.2845,61.72,87,2,5.57,NA,clear sky,2022-04-22 23:10:17
355,Kashmor,28.4333,69.5833,82.96,14,23,5.3,PK,few clouds,2022-04-22 23:12:16
356,Namibe,-15.1961,12.1522,72.79,80,45,3.51,AO,scattered clouds,2022-04-22 23:12:16
357,Aksarka,66.5606,67.7975,-4.2,98,100,3.29,RU,overcast clouds,2022-04-22 23:12:17
358,Valdivia,-39.8142,-73.2459,55.49,95,100,8.3,CL,overcast clouds,2022-04-22 23:12:17
359,Darlowo,54.421,16.4107,42.8,82,3,9.57,PL,clear sky,2022-04-22 23:12:17
360,Farafangana,-22.8167,47.8333,73.87,92,99,5.61,MG,moderate rain,2022-04-22 23:12:18
361,Sakakah,29.9697,40.2064,72.32,14,70,15.7,SA,broken clouds,2022-04-22 23:12:18
362,Goderich,43.7501,-81.7165,42.91,77,100,5.99,CA,overcast clouds,2022-04-22 23:12:19
363,Muros,42.7762,-9.0603,51.15,91,100,5.26,ES,overcast clouds,2022-04-22 23:12:19
364,Tabuk,17.4189,121.4443,76.24,85,7,4.5,PH,clear sky,2022-04-22 23:12:20
365,Sabzevar,36.2126,57.6819,65.26,58,71,3.69,IR,broken clouds,2022-04-22 23:12:20
366,Tucuman,-26.8241,-65.2226,64.4,88,75,11.5,AR,broken clouds,2022-04-22 23:10:12
367,Hohoe,7.1518,0.4736,75.51,93,72,5.14,GH,broken clouds,2022-04-22 23:12:21
368,Muzhi,65.3667,64.6667,-1.37,98,100,1.52,RU,overcast clouds,2022-04-22 23:12:21
369,Progreso,21.2833,-89.6667,87.91,69,0,22.03,MX,clear sky,2022-04-22 23:12:21
370,Rosetta,31.4044,30.4164,60.51,78,64,7.9,EG,broken clouds,2022-04-22 23:10:30
371,Pimenta Bueno,-11.6725,-61.1936,74.66,96,62,3.36,BR,broken clouds,2022-04-22 23:12:22
372,Shieli,44.1667,66.75,68.99,40,86,6.46,KZ,overcast clouds,2022-04-22 23:12:22
373,Enger,52.1333,8.5667,53.31,75,33,10.0,DE,scattered clouds,2022-04-22 23:12:23
374,Shentala,54.45,51.4833,36.37,68,8,7.29,RU,clear sky,2022-04-22 23:12:23
375,Minab,27.1467,57.0801,78.22,48,67,4.25,IR,broken clouds,2022-04-22 23:12:23
376,Soyo,-6.1349,12.3689,78.51,90,36,3.74,AO,light rain,2022-04-22 23:12:24
377,Saint-Augustin,51.226,-58.6502,33.15,100,100,4.54,CA,light snow,2022-04-22 23:12:24
378,Changuinola,9.4333,-82.5167,79.36,83,54,5.37,PA,broken clouds,2022-04-22 23:12:25
379,Rio Do Sul,-27.2142,-49.6431,67.39,98,100,1.72,BR,very heavy rain,2022-04-22 23:10:28
380,Dzilam Gonzalez,21.2833,-88.9333,84.24,50,11,13.58,MX,few clouds,2022-04-22 23:12:25
381,Locri,38.2414,16.2623,55.31,78,37,11.01,IT,scattered clouds,2022-04-22 23:12:25
382,Zhanaozen,43.3,52.8,57.25,54,61,9.26,KZ,broken clouds,2022-04-22 23:12:26
383,Rio Gallegos,-51.6226,-69.2181,46.45,66,0,17.27,AR,clear sky,2022-04-22 23:12:26
384,Tres Lagoas,-20.7511,-51.6783,75.63,45,2,6.38,BR,clear sky,2022-04-22 23:12:27
385,Tyukhtet,56.5389,89.3011,20.73,76,86,11.77,RU,overcast clouds,2022-04-22 23:12:27
386,Morlaix,48.5833,-4.0,51.96,88,89,11.5,FR,overcast clouds,2022-04-22 23:12:27
387,Musoma,-1.5,33.8,68.25,89,93,6.87,TZ,light rain,2022-04-22 23:12:28
388,Sherbakul,54.6316,72.3963,29.25,76,93,7.27,RU,overcast clouds,2022-04-22 23:12:28
389,Zaraza,9.3503,-65.3245,81.16,60,95,11.23,VE,overcast clouds,2022-04-22 23:12:29
390,Sarmanovo,55.2553,52.5891,34.48,76,13,6.91,RU,few clouds,2022-04-22 23:12:29
391,Salo,45.6086,10.531,56.86,91,100,1.28,IT,overcast clouds,2022-04-22 23:12:30
392,Plettenberg Bay,-34.0527,23.3716,59.94,79,99,2.77,ZA,overcast clouds,2022-04-22 23:12:30
393,Sokoni,-6.4333,39.55,81.75,74,83,5.91,TZ,light rain,2022-04-22 23:12:30
394,Paramonga,-10.6667,-77.8333,67.64,88,64,6.44,PE,broken clouds,2022-04-22 23:12:31
395,Diffa,13.3154,12.6113,88.5,12,43,4.63,NE,scattered clouds,2022-04-22 23:12:31
396,Luena,-11.7833,19.9167,58.23,80,80,2.68,AO,broken clouds,2022-04-22 23:12:32
397,Waddan,29.1614,16.139,68.72,28,6,11.45,LY,clear sky,2022-04-22 23:12:32
398,Bartica,6.4,-58.6167,77.32,97,98,3.65,GY,overcast clouds,2022-04-22 23:12:32
399,Marawi,7.9986,124.2928,71.29,88,67,1.23,PH,broken clouds,2022-04-22 23:11:53
400,Duki,30.1541,68.5728,70.27,21,5,5.61,PK,clear sky,2022-04-22 23:12:33
401,Saint-Louis,16.3333,-15.0,88.27,15,58,14.47,SN,broken clouds,2022-04-22 23:12:33
402,Baracoa,20.3467,-74.4958,75.78,83,44,11.03,CU,scattered clouds,2022-04-22 23:12:34
403,Gat,31.61,34.7642,76.41,100,96,2.62,IL,overcast clouds,2022-04-22 23:12:34
404,Adre,13.4667,22.2,83.98,17,19,6.69,TD,few clouds,2022-04-22 23:12:35
405,Niamey,13.5137,2.1098,92.39,10,17,8.99,NE,few clouds,2022-04-22 23:12:35
406,Diego De Almagro,-26.3667,-70.05,64.94,47,4,4.59,CL,clear sky,2022-04-22 23:12:35
407,Nova Olimpia,-14.7972,-57.2881,78.44,72,19,5.41,BR,few clouds,2022-04-22 23:12:36
408,El Vigia,8.6219,-71.6506,77.52,88,80,1.01,VE,broken clouds,2022-04-22 23:12:36
409,Nioro,13.35,-15.75,81.61,47,34,10.74,GM,scattered clouds,2022-04-22 23:12:37
410,Vero Beach,27.6386,-80.3973,76.05,66,75,13.8,US,broken clouds,2022-04-22 23:08:11
411,Kattivakkam,13.2167,80.3167,85.06,84,70,6.98,IN,light rain,2022-04-22 23:12:37
412,Calvia,39.5657,2.5062,59.47,76,36,14.88,ES,scattered clouds,2022-04-22 23:12:38
413,Comodoro Rivadavia,-45.8667,-67.5,49.86,66,0,6.91,AR,clear sky,2022-04-22 23:10:58
414,Pedernales,18.0384,-71.744,79.38,73,96,4.12,DO,overcast clouds,2022-04-22 23:12:38
415,Rafaela,-31.2503,-61.4867,53.98,70,52,3.0,AR,broken clouds,2022-04-22 23:08:07
416,Fagersta,60.0042,15.7932,38.98,67,19,8.46,SE,few clouds,2022-04-22 23:12:39
417,Mumford,5.2618,-0.759,80.89,85,40,9.71,GH,scattered clouds,2022-04-22 23:12:39
418,Reading,51.4562,-0.9711,52.02,68,100,4.0,GB,overcast clouds,2022-04-22 23:08:07
419,Grindavik,63.8424,-22.4338,45.07,87,100,11.5,IS,overcast clouds,2022-04-22 23:12:40
420,Nara,34.6851,135.8049,68.97,64,99,5.08,JP,overcast clouds,2022-04-22 23:12:40
421,Reidsville,36.3549,-79.6645,79.93,34,0,3.44,US,clear sky,2022-04-22 23:11:41
422,Shache,38.4167,77.2406,71.71,33,100,4.29,CN,overcast clouds,2022-04-22 23:12:40
423,Vilhena,-12.7406,-60.1458,70.12,96,94,3.78,BR,overcast clouds,2022-04-22 23:12:41
424,Panipat,29.3889,76.9681,77.5,30,0,6.04,IN,clear sky,2022-04-22 23:12:41
425,Pozo Colorado,-23.4923,-58.7972,81.68,54,73,5.32,PY,broken clouds,2022-04-22 23:12:42
426,Deer Lake,49.1667,-57.4316,37.53,96,100,6.4,CA,overcast clouds,2022-04-22 23:12:42
427,Chistogorskiy,53.9835,87.3843,25.29,57,98,6.73,RU,overcast clouds,2022-04-22 23:12:43
428,Cap Malheureux,-19.9842,57.6142,76.46,71,73,7.0,MU,broken clouds,2022-04-22 23:12:43
429,Pitsunda,43.1592,40.3378,48.38,65,68,6.13,GE,broken clouds,2022-04-22 23:12:43
430,Bajil,15.0584,43.2851,87.35,43,77,6.02,YE,broken clouds,2022-04-22 23:12:44
431,Bay Roberts,47.5999,-53.2648,41.5,63,100,1.99,CA,overcast clouds,2022-04-22 23:12:44
432,Matara,5.9485,80.5353,77.97,86,100,3.65,LK,overcast clouds,2022-04-22 23:12:45
433,Kaputa,-8.4689,29.6619,69.48,85,86,0.58,ZM,overcast clouds,2022-04-22 23:12:45
434,Viedma,-40.8135,-62.9967,50.67,60,25,3.38,AR,scattered clouds,2022-04-22 23:12:45
435,Naryan-Mar,67.6713,53.087,-1.8,94,8,7.7,RU,clear sky,2022-04-22 23:12:19
436,Banda Aceh,5.5577,95.3222,79.92,82,55,5.95,ID,broken clouds,2022-04-22 23:12:46
437,Toktogul,41.8708,72.9402,57.18,72,36,0.92,KG,scattered clouds,2022-04-22 23:12:46
438,Nalut,30.3333,10.85,63.46,22,0,8.9,LY,clear sky,2022-04-22 23:12:47
439,Cordoba,-31.4135,-64.1811,59.76,74,0,5.75,AR,clear sky,2022-04-22 23:12:45
440,Quatre Cocos,-20.2078,57.7625,76.08,68,97,18.59,MU,overcast clouds,2022-04-22 23:12:47
441,San Cristobal,7.7669,-72.225,73.58,84,59,3.67,VE,broken clouds,2022-04-22 23:12:48
442,Krasnoselkup,65.7,82.4667,2.48,99,89,10.49,RU,overcast clouds,2022-04-22 23:12:48
443,Bimbo,4.2567,18.4158,73.72,86,64,0.29,CF,broken clouds,2022-04-22 23:12:49
444,Alappuzha,9.49,76.3264,79.09,83,89,4.97,IN,moderate rain,2022-04-22 23:12:49
445,Lokoja,7.8024,6.743,79.05,79,93,7.09,NG,overcast clouds,2022-04-22 23:12:49
446,Patacamaya,-17.2333,-67.9167,52.92,35,21,6.04,BO,few clouds,2022-04-22 23:11:13
447,Bainbridge,47.6262,-122.5212,62.83,59,40,3.0,US,scattered clouds,2022-04-22 23:12:50
448,Nonantola,44.6761,11.0321,52.83,95,31,4.38,IT,scattered clouds,2022-04-22 23:12:50
449,Kavaratti,10.5669,72.642,83.95,72,99,3.67,IN,overcast clouds,2022-04-22 23:09:14
450,Hornepayne,49.2138,-84.7705,37.78,77,100,4.29,CA,overcast clouds,2022-04-22 23:12:51
451,Mezhdurechensk,53.6942,88.0603,25.72,93,100,3.24,RU,light snow,2022-04-22 23:12:42
452,Perieti,44.4,24.55,50.58,93,79,10.2,RO,broken clouds,2022-04-22 23:12:51
453,Yarmouth,41.7057,-70.2286,57.34,54,0,11.5,US,clear sky,2022-04-22 23:12:52
454,Humaita,-7.5061,-63.0208,78.62,83,98,2.53,BR,overcast clouds,2022-04-22 23:12:52
455,Bahia Blanca,-38.7196,-62.2724,54.05,52,9,3.98,AR,clear sky,2022-04-22 23:07:59
456,Salaga,8.5508,-0.5188,84.43,53,47,8.16,GH,scattered clouds,2022-04-22 23:12:53
457,Faya,18.3851,42.4509,61.32,44,97,5.93,SA,overcast clouds,2022-04-22 23:12:53
458,Imbituba,-28.24,-48.6703,69.87,85,100,6.6,BR,moderate rain,2022-04-22 23:09:53
459,Aksay,47.26,39.87,48.25,91,29,8.01,RU,scattered clouds,2022-04-22 23:12:53
460,Kabare,-2.4683,28.8242,62.49,97,100,1.01,CD,light rain,2022-04-22 23:12:54
461,Minudasht,37.2289,55.3747,57.63,89,97,0.49,IR,overcast clouds,2022-04-22 23:12:54
462,Benoy,8.9833,16.3199,86.27,44,99,10.51,TD,overcast clouds,2022-04-22 23:12:55
463,Nikolskoye,59.7035,30.7861,43.81,79,90,4.16,RU,overcast clouds,2022-04-22 23:09:23
464,Awjilah,29.1081,21.2869,77.36,11,93,11.07,LY,overcast clouds,2022-04-22 23:12:55
465,Dinar,38.065,30.1656,53.56,46,14,3.31,TR,few clouds,2022-04-22 23:12:56
466,Teguise,29.0605,-13.564,61.02,68,20,6.91,ES,few clouds,2022-04-22 23:12:56
467,Florianopolis,-27.6146,-48.5012,73.35,85,75,8.05,BR,moderate rain,2022-04-22 23:12:56
468,Oktyabrskoye,43.0645,44.7417,46.54,93,99,2.24,RU,overcast clouds,2022-04-22 23:12:57
469,Havoysund,70.9963,24.6622,34.03,76,100,15.21,NO,overcast clouds,2022-04-22 23:12:57
470,Lalgudi,10.8667,78.8333,81.84,76,96,3.22,IN,overcast clouds,2022-04-22 23:12:58
471,Bonga,7.2833,36.2333,58.35,98,100,2.48,ET,overcast clouds,2022-04-22 23:12:58
472,Urubicha,-15.3833,-62.95,77.81,73,95,2.62,BO,overcast clouds,2022-04-22 23:12:59
473,Surgut,61.25,73.4167,14.18,85,75,11.18,RU,light shower snow,2022-04-22 23:12:59
474,Kapoeta,4.7717,33.5903,75.76,73,99,3.69,SS,overcast clouds,2022-04-22 23:12:59
475,Isabela,6.7085,121.9711,80.96,80,98,2.59,PH,overcast clouds,2022-04-22 23:08:16
476,Raudeberg,61.9875,5.1352,50.67,82,67,13.29,NO,broken clouds,2022-04-22 23:13:00
477,Vilcun,-38.65,-72.2333,52.54,95,99,7.83,CL,overcast clouds,2022-04-22 23:13:00
478,Tamasane,-22.4184,27.4013,64.31,77,60,4.74,BW,broken clouds,2022-04-22 23:11:18
479,Utiel,39.5667,-1.2,49.33,80,94,2.44,ES,overcast clouds,2022-04-22 23:13:01
480,Trinidad,-14.8333,-64.9,82.38,83,75,4.61,BO,broken clouds,2022-04-22 23:13:01
481,La Asuncion,11.0333,-63.8628,77.11,81,100,12.77,VE,overcast clouds,2022-04-22 23:13:01
482,Walvis Bay,-22.9575,14.5053,59.09,79,0,9.69,NA,clear sky,2022-04-22 23:13:02
483,Osakarovka,50.565,72.5692,31.42,56,20,7.25,KZ,few clouds,2022-04-22 23:13:02
484,Kembe,4.6228,21.8865,68.88,92,90,1.01,CF,overcast clouds,2022-04-22 23:11:20
485,El Alto,-4.2714,-81.2147,68.85,79,20,12.91,PE,few clouds,2022-04-22 23:13:03
486,Sioux Lookout,50.1001,-91.917,33.87,93,100,8.05,CA,mist,2022-04-22 23:13:03
487,Mocuba,-16.8392,36.9856,70.86,99,71,3.98,MZ,light rain,2022-04-22 23:13:04
488,Pangody,65.85,74.4859,-2.07,99,90,8.68,RU,overcast clouds,2022-04-22 23:13:04
489,Fenoarivo,-18.933,47.4354,61.43,93,100,5.35,MG,overcast clouds,2022-04-22 23:13:04
490,Bereznik,62.8551,42.7072,35.37,95,100,6.76,RU,overcast clouds,2022-04-22 23:13:05
491,Turayf,31.6725,38.6637,70.18,15,99,17.36,SA,overcast clouds,2022-04-22 23:13:05
492,Zyryanovsk,49.7386,84.2719,33.66,80,70,1.97,KZ,broken clouds,2022-04-22 23:13:06
493,Kutum,14.2,24.6667,77.52,15,26,8.01,SD,scattered clouds,2022-04-22 23:13:06
494,Shetpe,44.1667,52.1167,52.9,71,36,6.8,KZ,scattered clouds,2022-04-22 23:13:07
495,Albanel,48.8832,-72.4487,32.22,67,67,12.57,CA,broken clouds,2022-04-22 23:13:07
496,San Juan,-31.5375,-68.5364,65.23,44,10,9.42,AR,clear sky,2022-04-22 23:13:07
497,Ponta Delgada,37.7333,-25.6667,57.92,54,75,6.91,PT,broken clouds,2022-04-22 23:13:08
498,Lykhivka,48.6874,33.9228,44.67,84,90,8.23,UA,overcast clouds,2022-04-22 23:13:08
499,Sidi Ali,36.0998,0.4206,57.22,62,33,6.51,DZ,scattered clouds,2022-04-22 23:13:09
500,Banepa,27.6298,85.5214,59.32,77,20,2.3,NP,few clouds,2022-04-22 23:13:09
501,Praia Da Vitoria,38.7333,-27.0667,56.75,80,84,10.16,PT,broken clouds,2022-04-22 23:13:09
502,Cadiz,36.5,-5.75,53.74,93,100,13.82,ES,light rain,2022-04-22 23:13:10
503,Dehloran,32.6941,47.2679,76.1,11,28,4.0,IR,scattered clouds,2022-04-22 23:13:10
504,Mahajanga,-15.7167,46.3167,75.22,100,40,4.61,MG,thunderstorm with light rain,2022-04-22 23:13:11
505,Bealanana,-14.55,48.7333,64.67,97,100,3.13,MG,overcast clouds,2022-04-22 23:13:11
506,Oromocto,45.8351,-66.4792,48.7,52,46,8.99,CA,scattered clouds,2022-04-22 23:09:14
507,Coihaique,-45.5752,-72.0662,44.55,93,100,5.75,CL,moderate rain,2022-04-22 23:13:12
508,Morondava,-20.2833,44.2833,75.47,89,98,0.6,MG,moderate rain,2022-04-22 23:13:12
509,Vysha,53.8477,42.3777,39.54,80,42,3.8,RU,scattered clouds,2022-04-22 23:13:13
510,Muravlenko,63.7898,74.523,0.19,97,88,11.32,RU,overcast clouds,2022-04-22 23:13:13
511,Zdvinsk,54.7021,78.661,26.89,57,19,6.89,RU,few clouds,2022-04-22 23:13:13
512,Kozhva,65.1073,57.0459,8.56,96,47,3.2,RU,scattered clouds,2022-04-22 23:13:14
513,Gritsovskiy,54.1376,38.1604,43.84,91,100,2.71,RU,overcast clouds,2022-04-22 23:13:14
514,Carauari,-4.8828,-66.8958,74.82,96,91,2.26,BR,overcast clouds,2022-04-22 23:13:15
515,Bonavista,48.6499,-53.1147,35.89,76,100,15.32,CA,overcast clouds,2022-04-22 23:13:15
516,Koslan,63.4564,48.8989,34.21,94,100,4.47,RU,overcast clouds,2022-04-22 23:13:16
517,Parlakimidi,18.7667,84.0833,78.31,90,3,1.72,IN,clear sky,2022-04-22 23:13:16
518,Havelock,34.8791,-76.9013,71.98,70,88,4.0,US,overcast clouds,2022-04-22 23:13:16
519,Mjolby,58.326,15.1237,44.31,85,4,5.53,SE,clear sky,2022-04-22 23:13:17
520,Santa Vitoria Do Palmar,-33.5189,-53.3681,55.31,94,100,4.88,BR,light rain,2022-04-22 23:13:17
521,Morant Bay,17.8815,-76.4093,78.42,80,36,11.12,JM,scattered clouds,2022-04-22 23:13:18
522,Mahibadhoo,3.7833,72.9667,82.74,75,100,12.82,MV,overcast clouds,2022-04-22 23:13:18
